adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,pubfloatusd,floatdate,floataxis,floatmems
0000891618-09-000150,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80222,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80222,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20090331.0,2009.0,Q1,20090430,2009-04-29 21:32:00.0,0,0,nem-20090331.xml,1,,23670310912.0,20080630.0,,
0000950123-09-024448,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20090630.0,2009.0,Q2,20090723,2009-07-22 19:17:00.0,0,0,nem-20090630.xml,1,,23670310912.0,20080630.0,,
0000950123-09-054293,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20090930.0,2009.0,Q3,20091029,2009-10-28 17:52:00.0,0,0,nem-20090930.xml,1,,23670310912.0,20080630.0,,
0000950123-10-016613,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-K,20091231.0,2009.0,FY,20100225,2010-02-25 06:06:00.0,0,0,nem-20091231.xml,1,,20005984256.0,20090630.0,,
0001047469-10-002778,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,1,1231.0,20-F,20091231.0,2009.0,FY,20100326,2010-03-26 16:07:00.0,0,0,aem-20091231.xml,1,,,,,
0001104659-10-017012,756894,BARRICK GOLD CORP,1040.0,CA,ON,TORONTO ONTARIO CANA,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",161 BAY STREET SUITE 3700,4163077470,CA,ON,ONTARIO M5J2S1,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",P O BOX 212 TORONTO,,,0.0,BARRICK RESOURCES CORP,19860109.0,,0,1231.0,40-F,20091231.0,2009.0,FY,20100329,2010-03-29 17:07:00.0,0,0,abx-20091231.xml,1,,,,,
0000950123-10-038469,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20100331.0,2010.0,Q1,20100427,2010-04-27 06:04:00.0,0,0,nem-20100331.xml,1,,20005984256.0,20090630.0,,
0001047469-10-005246,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,0,1231.0,6-K,20100331.0,2010.0,Q1,20100513,2010-05-13 15:38:00.0,0,0,aem-20100331.xml,1,,,,,
0000950123-10-068690,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20100630.0,2010.0,Q2,20100728,2010-07-27 20:46:00.0,0,1,nem-20100331.xml,1,,20005984256.0,20090630.0,,
0001047469-10-007421,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,0,1231.0,6-K,20100630.0,2010.0,Q2,20100812,2010-08-12 11:56:00.0,0,1,aem-20100630.xml,1,,,,,
0000950123-10-098972,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20100930.0,2010.0,Q3,20101102,2010-11-01 19:55:00.0,0,1,nem-20100930.xml,1,,20005984256.0,20090930.0,,
0001047469-10-009664,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,0,1231.0,6-K,20100930.0,2010.0,Q3,20101112,2010-11-12 11:16:00.0,0,1,aem-20100930.xml,1,,,,,
0000950123-11-017350,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-K,20101231.0,2010.0,FY,20110224,2011-02-23 20:55:00.0,0,1,nem-20101231.xml,1,,3.0366217646637056e+16,20100630.0,,
0001047469-11-002754,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,1,1231.0,20-F,20101231.0,2010.0,FY,20110328,2011-03-28 17:10:00.0,0,1,aem-20101231.xml,1,,,,,
0001104659-11-017950,756894,BARRICK GOLD CORP,1040.0,CA,ON,TORONTO ONTARIO CANA,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",161 BAY STREET SUITE 3700,4163077470,CA,ON,ONTARIO M5J2S1,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",P O BOX 212 TORONTO,,,0.0,BARRICK RESOURCES CORP,19860109.0,,0,1231.0,40-F,20101231.0,2010.0,FY,20110331,2011-03-31 15:55:00.0,1,1,abx-20101231.xml,1,,,,,
0001104659-11-018754,756894,BARRICK GOLD CORP,1040.0,CA,ON,TORONTO ONTARIO CANA,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",161 BAY STREET SUITE 3700,4163077470,CA,ON,ONTARIO M5J2S1,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",P O BOX 212 TORONTO,,,0.0,BARRICK RESOURCES CORP,19860109.0,,0,1231.0,40-F/A,20101231.0,2010.0,FY,20110405,2011-04-05 16:34:00.0,0,1,abx-20101231.xml,1,,,,,
0000950123-11-037416,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20110331.0,2011.0,Q1,20110421,2011-04-20 20:30:00.0,0,1,nem-20110331.xml,1,,,,,
0001047469-11-004994,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,0,1231.0,6-K,20110331.0,2011.0,Q1,20110512,2011-05-12 09:23:00.0,0,1,aem-20110331.xml,1,,,,,
0001193125-24-036626,756894,BARRICK GOLD CORP,1040.0,CA,ON,TORONTO ONTARIO CANA,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",161 BAY STREET SUITE 3700,4163077470,CA,ON,ONTARIO M5J2S1,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",P O BOX 212 TORONTO,CA,BC,0.0,BARRICK RESOURCES CORP,19860109.0,,0,1231.0,6-K,20231231.0,2023.0,FY,20240214,2024-02-14 17:28:00.0,0,1,d647461d6k_htm.xml,1,,,,,
0001104659-24-026228,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20240131.0,,,20240222,2024-02-22 06:03:00.0,1,0,tm246653d1_8k_htm.xml,1,,,,,
0001104659-24-026544,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K/A,20230131.0,,,20240222,2024-02-22 16:16:00.0,0,0,tm246653d2_8ka_htm.xml,1,,,,,
0001164727-24-000006,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20240229.0,,,20240222,2024-02-22 07:01:00.0,1,0,nem-20240222_htm.xml,1,,,,,
0000886986-24-000003,886986,TECK RESOURCES LTD,1400.0,CA,BC,VANCOUVER,V6C 0B3,550 BURRARD ST,"SUITE 3300, BENTALL 5",604-699-4000,CA,BC,VANCOUVER,V6C 0B3,550 BURRARD ST,"SUITE 3300, BENTALL 5",CA,BC,0.0,TECK COMINCO LTD,19940623.0,,0,1231.0,40-F,20231231.0,2023.0,FY,20240223,2024-02-23 16:17:00.0,0,1,teck-20231231_htm.xml,1,,,,,
0001164727-24-000016,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,1,1231.0,10-K,20231231.0,2023.0,FY,20240229,2024-02-29 07:52:00.0,0,1,nem-20231231_htm.xml,1,,33878942644.0,20230630.0,,1.0
0001193125-24-055096,1725964,NUTRIEN LTD.,2870.0,CA,SK,SASKATOON,S7K 5R6,211 19TH STREET EAST,SUITE 1700,(306) 933-8500,CA,SK,SASKATOON,S7K 5R6,211 19TH STREET EAST,SUITE 1700,CA,,981400416.0,,,,0,1231.0,40-F,20231231.0,2023.0,FY,20240301,2024-03-01 11:09:00.0,0,1,d523730d40f_htm.xml,1,,,,,
0001104659-24-030616,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20240229.0,,,20240305,2024-03-04 19:13:00.0,0,0,tm247930d1_8k_htm.xml,1,,,,,
0001558370-24-002504,1456346,FRANCO NEVADA CORP,1040.0,CA,ON,TORONTO,M5L 1G9,"199 BAY STREET, SUITE 2000",COMMERCE COURT WEST,416-306-6317,CA,ON,TORONTO,M5L 1G9,"199 BAY STREET, SUITE 2000",COMMERCE COURT WEST,CA,,0.0,,,,0,1231.0,6-K,20231231.0,2023.0,FY,20240306,2024-03-05 17:47:00.0,0,1,fnv-20231231x6k_htm.xml,1,,,,,
0001104659-24-032016,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20240229.0,,,20240308,2024-03-07 20:24:00.0,0,0,tm248224d1_8k_htm.xml,1,,,,,
0001104659-24-033021,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,DEF 14A,20240430.0,,,20240311,2024-03-11 16:32:00.0,0,0,tm242628d2_def14a_htm.xml,1,,,,,
0001193125-24-068583,756894,BARRICK GOLD CORP,1040.0,CA,ON,TORONTO ONTARIO CANA,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",161 BAY STREET SUITE 3700,4163077470,CA,ON,ONTARIO M5J2S1,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",P O BOX 212 TORONTO,CA,BC,0.0,BARRICK RESOURCES CORP,19860109.0,,0,1231.0,40-F,20231231.0,2023.0,FY,20240315,2024-03-15 07:32:00.0,0,1,d643214d40f_htm.xml,1,,,,,
0001558370-24-003443,1456346,FRANCO NEVADA CORP,1040.0,CA,ON,TORONTO,M5L 1G9,"199 BAY STREET, SUITE 2000",COMMERCE COURT WEST,416-306-6317,CA,ON,TORONTO,M5L 1G9,"199 BAY STREET, SUITE 2000",COMMERCE COURT WEST,CA,,0.0,,,,0,1231.0,40-F,20231231.0,2023.0,FY,20240315,2024-03-15 17:24:00.0,0,1,fnv-20231231x40f_htm.xml,1,,,,,
0001193125-24-075464,1009001,CAMECO CORP,1090.0,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W,,3069566200,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W.,,,,980113090.0,,,,0,1231.0,40-F,20231231.0,2023.0,FY,20240322,2024-03-22 17:23:00.0,0,1,d764353d40f_htm.xml,1,,,,,
0001104659-24-037982,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,,0,1231.0,40-F,20231231.0,2023.0,FY,20240325,2024-03-22 18:17:00.0,0,1,aem-20231231x40f_htm.xml,1,,,,,
0001104659-24-039723,701818,KINROSS GOLD CORP,1040.0,CA,ON,TORONTO,M5J 2V5,25 YORK STREET,17TH FLOOR,8013639152,CA,ON,TORONTO,M5J 2V5,25 YORK STREET,17TH FLOOR,,,650430083.0,PLEXUS RESOURCES CORP,19920703.0,,0,1231.0,40-F,20231231.0,2023.0,FY,20240327,2024-03-27 16:19:00.0,0,1,kgc-20231231x40f_htm.xml,1,,,,,
0001193125-24-080810,1323404,WHEATON PRECIOUS METALS CORP.,1040.0,CA,BC,VANCOUVER,V6E 0C3,SUITE 3500,1021 WEST HASTINGS STREEET,604 684 3123,CA,BC,VANCOUVER,V6E 0C3,SUITE 3500,1021 WEST HASTINGS STREEET,CA,ON,980459455.0,SILVER WHEATON CORP.,20050411.0,,0,1231.0,40-F,20231231.0,2023.0,FY,20240328,2024-03-28 16:57:00.0,0,1,d741247d40f_htm.xml,1,,,,,
0001164727-24-000025,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20240430.0,,,20240425,2024-04-25 07:01:00.0,0,0,nem-20240425_htm.xml,1,,,,,
0001104659-24-053061,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20240430.0,,,20240426,2024-04-26 17:00:00.0,0,0,tm2412783d1_8k_htm.xml,1,,,,,
0001164727-24-000031,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,10-Q,20240331.0,2024.0,Q1,20240429,2024-04-29 08:03:00.0,0,1,nem-20240331_htm.xml,1,,,,,
0001104659-24-076031,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20240630.0,,,20240628,2024-06-28 08:05:00.0,0,0,tm2418469d1_8k_htm.xml,1,,,,,
0001164727-24-000035,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20240731.0,,,20240724,2024-07-24 16:05:00.0,0,0,nem-20240724_htm.xml,1,,,,,
0001164727-24-000039,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,10-Q,20240630.0,2024.0,Q2,20240725,2024-07-25 16:04:00.0,0,1,nem-20240630_htm.xml,1,,,,,
0001104659-24-082823,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20240731.0,,,20240726,2024-07-26 06:35:00.0,0,0,tm2420066d1_8k_htm.xml,1,,,,,
0001193125-24-196105,1323404,WHEATON PRECIOUS METALS CORP.,1040.0,CA,BC,VANCOUVER,V6E 0C3,SUITE 3500,1021 WEST HASTINGS STREEET,604 684 3123,CA,BC,VANCOUVER,V6E 0C3,SUITE 3500,1021 WEST HASTINGS STREEET,CA,ON,980459455.0,SILVER WHEATON CORP.,20050411.0,,0,1231.0,6-K,20240630.0,2024.0,Q2,20240808,2024-08-07 18:22:00.0,0,1,d808400d6k_htm.xml,1,,,,,
0001193125-24-198723,756894,BARRICK GOLD CORP,1040.0,CA,ON,TORONTO ONTARIO CANA,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",161 BAY STREET SUITE 3700,4163077470,CA,ON,ONTARIO M5J2S1,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",P O BOX 212 TORONTO,CA,BC,0.0,BARRICK RESOURCES CORP,19860109.0,,0,1231.0,6-K,20240630.0,2024.0,Q2,20240812,2024-08-12 14:08:00.0,0,1,d876961d6k_htm.xml,1,,,,,
0001558370-24-012095,1456346,FRANCO NEVADA CORP,1040.0,CA,ON,TORONTO,M5L 1G9,"199 BAY STREET, SUITE 2000",COMMERCE COURT WEST,416-306-6317,CA,ON,TORONTO,M5L 1G9,"199 BAY STREET, SUITE 2000",COMMERCE COURT WEST,CA,,0.0,,,,0,1231.0,6-K,20240630.0,2024.0,Q2,20240814,2024-08-13 18:22:00.0,0,1,fnv-20240630x6k_htm.xml,1,,,,,
0001164727-24-000057,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20241031.0,,,20241023,2024-10-23 16:06:00.0,0,0,nem-20241023_htm.xml,1,,,,,
0001164727-24-000061,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,10-Q,20240930.0,2024.0,Q3,20241024,2024-10-24 16:13:00.0,0,1,nem-20240930_htm.xml,1,,,,,
0001104659-24-120181,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20241130.0,,,20241118,2024-11-18 17:05:00.0,0,0,tm2428762d1_8k_htm.xml,1,,,,,
0001104659-25-013049,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,,0,1231.0,6-K,20241231.0,2024.0,FY,20250213,2025-02-13 17:30:00.0,0,1,aem-20241231x6k_htm.xml,1,,,,,
0001193125-25-025337,756894,BARRICK GOLD CORP,1040.0,CA,ON,TORONTO ONTARIO CANA,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",161 BAY STREET SUITE 3700,4163077470,CA,ON,ONTARIO M5J2S1,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",P O BOX 212 TORONTO,CA,BC,0.0,BARRICK RESOURCES CORP,19860109.0,,0,1231.0,6-K,20241231.0,2024.0,FY,20250213,2025-02-12 21:38:00.0,0,1,d853431d6k_htm.xml,1,,,,,
0000886986-25-000004,886986,TECK RESOURCES LTD,1400.0,CA,BC,VANCOUVER,V6C 0B3,550 BURRARD ST,"SUITE 3300, BENTALL 5",604-699-4000,CA,BC,VANCOUVER,V6C 0B3,550 BURRARD ST,"SUITE 3300, BENTALL 5",CA,BC,0.0,TECK COMINCO LTD,19940623.0,,0,1231.0,40-F,20241231.0,2024.0,FY,20250220,2025-02-20 15:47:00.0,0,1,teck-20241231_htm.xml,1,,,,,
0001164727-25-000008,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,0,1231.0,8-K,20250228.0,,,20250220,2025-02-20 16:02:00.0,0,0,nem-20250220_htm.xml,1,,,,,
0001164727-25-000011,1164727,NEWMONT CORP /DE/,1040.0,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,303-863-7414,US,CO,DENVER,80237,6900 E LAYTON AVE,SUITE 700,US,DE,841611629.0,NEWMONT GOLDCORP CORP /DE/,20190417.0,1-LAF,1,1231.0,10-K,20241231.0,2024.0,FY,20250221,2025-02-20 20:21:00.0,0,1,nem-20241231_htm.xml,1,,48153562623.0,20240630.0,,1.0
0001104659-25-017551,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,,0,1231.0,40-F,20241231.0,2024.0,FY,20250227,2025-02-26 18:12:00.0,0,1,aem-20241231x40f_htm.xml,1,,,,,
